date,close,volume
2025-09-17,47.42,1592093
2025-09-18,47.17,1549414
2025-09-19,47.65,2063379
2025-09-22,47.98,1549424
2025-09-23,47.97,2042897
2025-09-24,47.74,2084341
2025-09-25,47.78,2043217
2025-09-26,47.54,2073657
2025-09-29,47.48,1854297
2025-09-30,48.01,1774700
2025-10-01,48.02,1938247
2025-10-02,48.07,1841970
2025-10-03,48.40,1874150
2025-10-06,48.73,1924319
2025-10-07,49.39,1993257
2025-10-08,49.09,1602996
2025-10-09,49.50,1659590
2025-10-10,49.36,1944588
2025-10-13,49.06,1648453
2025-10-14,48.87,2104985
2025-10-15,49.37,1760361
2025-10-16,49.83,2118372
2025-10-17,50.49,2113952
2025-10-20,50.70,1949210
2025-10-21,51.16,1685629
2025-10-22,51.24,1659071
2025-10-23,51.42,1894768
2025-10-24,51.76,1482330
2025-10-27,52.04,1616512
2025-10-28,52.48,1842093
2025-10-29,52.69,1562642
2025-10-30,52.49,1700326
2025-10-31,52.15,1861728
2025-11-03,52.03,1745443
2025-11-04,51.87,1729801
2025-11-05,52.00,1800616
2025-11-06,51.76,1791222
2025-11-07,51.48,2118421
2025-11-10,51.79,1534371
2025-11-11,51.66,1873963
2025-11-12,52.27,2046715
2025-11-13,52.47,1876142
2025-11-14,53.07,1555404
2025-11-17,53.18,1890116
2025-11-18,53.36,2052658
2025-11-19,53.38,1979893
2025-11-20,53.65,1552328
2025-11-21,53.93,1771166
2025-11-24,53.82,1925309
2025-11-25,53.59,1561952
2025-11-26,53.75,1948474
2025-11-27,53.69,1805739
2025-11-28,54.22,1641856
2025-12-01,54.99,2068510
2025-12-02,55.19,1836561
2025-12-03,55.29,1586242
2025-12-04,55.00,1550047
2025-12-05,55.11,1536618
2025-12-08,55.95,2081072
2025-12-09,55.95,1799814
2025-12-10,56.41,1739045
2025-12-11,57.06,1839546
2025-12-12,56.76,1723347
2025-12-15,56.71,1739101
2025-12-16,57.00,1646176
2025-12-17,56.71,1917445
2025-12-18,56.79,1901990
2025-12-19,57.34,1664296
