model,seed,epoch,accuracy,loss
baseline,2,25,68.840,0.2995
baseline,2,26,68.563,0.3457
baseline,2,27,69.411,0.3404
baseline,2,28,69.732,0.2650
baseline,2,29,69.563,0.2883
baseline,2,30,70.000,0.3038
+augment,0,1,9.718,2.2737
+augment,0,2,17.551,2.0448
+augment,0,3,25.193,1.8859
+augment,0,4,31.732,1.6830
+augment,0,5,37.429,1.5207
+augment,0,6,42.038,1.3354
+augment,0,7,46.114,1.2095
+augment,0,8,49.645,1.1135
+augment,0,9,52.976,1.0508
+augment,0,10,56.225,0.9313
+augment,0,11,58.613,0.8306
+augment,0,12,60.428,0.7496
+augment,0,13,62.531,0.7295
+augment,0,14,63.901,0.6523
+augment,0,15,65.491,0.6206
+augment,0,16,66.610,0.5822
+augment,0,17,68.283,0.5345
+augment,0,18,69.371,0.4905
+augment,0,19,69.930,0.4765
+augment,0,20,70.927,0.4545
+augment,0,21,70.865,0.4164
+augment,0,22,71.962,0.4025
+augment,0,23,72.233,0.3415
+augment,0,24,72.635,0.3681
+augment,0,25,72.789,0.3033
+augment,0,26,73.157,0.3507
+augment,0,27,73.470,0.3277
+augment,0,28,73.803,0.3171
+augment,0,29,74.099,0.3140
+augment,0,30,73.760,0.2811
+augment,1,1,9.413,2.2832
+augment,1,2,17.437,2.0845
+augment,1,3,25.509,1.8775
+augment,1,4,31.235,1.6908
+augment,1,5,36.661,1.4981
+augment,1,6,42.201,1.3762
+augment,1,7,45.919,1.2595
+augment,1,8,49.137,1.1253
+augment,1,9,53.289,1.0012
+augment,1,10,55.695,0.9275
+augment,1,11,58.114,0.8561
+augment,1,12,60.051,0.7506
+augment,1,13,61.863,0.7132
+augment,1,14,63.849,0.6316
+augment,1,15,65.568,0.6377
+augment,1,16,66.325,0.5409
+augment,1,17,67.673,0.5500
+augment,1,18,69.131,0.4734
+augment,1,19,70.005,0.4369
+augment,1,20,70.463,0.4647
+augment,1,21,70.800,0.4291
+augment,1,22,71.416,0.3905
+augment,1,23,71.585,0.3936
+augment,1,24,72.773,0.3401
+augment,1,25,72.504,0.3066
+augment,1,26,72.816,0.3217
+augment,1,27,73.724,0.3264
+augment,1,28,74.136,0.2968
+augment,1,29,73.792,0.3173
+augment,1,30,74.118,0.2727
+augment,2,1,8.515,2.2794
+augment,2,2,16.475,2.0518
+augment,2,3,24.407,1.8362
+augment,2,4,29.894,1.6494
+augment,2,5,36.234,1.5142
+augment,2,6,40.820,1.3639
+augment,2,7,44.555,1.2417
+augment,2,8,48.921,1.1106
+augment,2,9,52.091,1.0415
+augment,2,10,54.949,0.9103
+augment,2,11,57.639,0.8490
+augment,2,12,59.081,0.7956
+augment,2,13,61.541,0.6894
+augment,2,14,63.133,0.6486
+augment,2,15,64.110,0.6361
+augment,2,16,65.098,0.5858
+augment,2,17,66.706,0.5177
+augment,2,18,67.407,0.4896
+augment,2,19,68.571,0.4821
+augment,2,20,69.214,0.4095
+augment,2,21,69.597,0.3801
+augment,2,22,70.040,0.4117
+augment,2,23,71.468,0.3895
+augment,2,24,71.989,0.3210
+augment,2,25,72.221,0.3325
+augment,2,26,72.123,0.3528
+augment,2,27,72.215,0.2886
+augment,2,28,73.061,0.3050
+augment,2,29,72.856,0.2967
+augment,2,30,73.194,0.2917
+distill,0,1,8.484,2.2763
+distill,0,2,18.069,2.0558
+distill,0,3,25.222,1.8559
+distill,0,4,31.392,1.6578
+distill,0,5,37.143,1.4802
+distill,0,6,42.797,1.3454
+distill,0,7,46.629,1.2282
+distill,0,8,51.019,1.1612
+distill,0,9,53.903,1.0310
+distill,0,10,56.543,0.9335
+distill,0,11,59.760,0.8821
+distill,0,12,62.059,0.7883
+distill,0,13,63.872,0.7459
+distill,0,14,65.154,0.6501
+distill,0,15,66.826,0.6221
+distill,0,16,68.370,0.5585
+distill,0,17,69.274,0.5556
+distill,0,18,69.924,0.4586
+distill,0,19,70.727,0.4328
+distill,0,20,71.859,0.4519
+distill,0,21,72.501,0.4191
+distill,0,22,73.574,0.3653
+distill,0,23,73.981,0.3779
+distill,0,24,74.291,0.3756
+distill,0,25,74.631,0.3505
+distill,0,26,75.195,0.3199
+distill,0,27,74.944,0.3011
+distill,0,28,75.400,0.2660
+distill,0,29,75.915,0.2855
+distill,0,30,76.095,0.2878
+distill,1,1,9.323,2.2988
+distill,1,2,18.103,2.0908
+distill,1,3,25.911,1.8900
+distill,1,4,31.888,1.6596
+distill,1,5,37.459,1.5247
+distill,1,6,42.659,1.3738
+distill,1,7,46.974,1.2493
+distill,1,8,50.763,1.1120
+distill,1,9,54.163,1.0363
+distill,1,10,57.750,0.9032
+distill,1,11,60.433,0.8612
+distill,1,12,62.117,0.7732
+distill,1,13,64.010,0.7376
+distill,1,14,65.668,0.6468
+distill,1,15,67.000,0.6128
+distill,1,16,69.209,0.5505
+distill,1,17,70.141,0.5571
+distill,1,18,70.602,0.4975
+distill,1,19,71.849,0.4800
+distill,1,20,72.235,0.4311
+distill,1,21,72.678,0.4015
+distill,1,22,74.333,0.3678
+distill,1,23,74.830,0.3886
+distill,1,24,74.846,0.3226
+distill,1,25,75.421,0.3317
+distill,1,26,75.668,0.3338
+distill,1,27,75.455,0.3206
+distill,1,28,76.345,0.2754
+distill,1,29,76.041,0.2717
+distill,1,30,76.863,0.3083
+distill,2,1,9.434,2.2931
+distill,2,2,18.875,2.0544
+distill,2,3,25.854,1.8659
+distill,2,4,32.178,1.6520
+distill,2,5,37.856,1.5020
+distill,2,6,43.633,1.3362
+distill,2,7,47.838,1.2444
+distill,2,8,51.582,1.1612
+distill,2,9,54.946,1.0085
+distill,2,10,57.868,0.9484
+distill,2,11,60.473,0.8466
+distill,2,12,62.481,0.7496
+distill,2,13,64.754,0.7386
+distill,2,14,66.210,0.6566
+distill,2,15,67.982,0.6191
+distill,2,16,69.085,0.5556
+distill,2,17,70.057,0.5587
+distill,2,18,70.741,0.5149
+distill,2,19,72.579,0.4353
+distill,2,20,72.503,0.4257
+distill,2,21,73.198,0.4023
+distill,2,22,74.280,0.3719
+distill,2,23,75.036,0.4012
+distill,2,24,75.148,0.3827
+distill,2,25,75.248,0.3039
+distill,2,26,76.174,0.3545
+distill,2,27,76.331,0.3299
+distill,2,28,76.604,0.3177
+distill,2,29,76.588,0.2967
+distill,2,30,77.303,0.2799
ours,0,1,11.151,2.3128
ours,0,2,20.437,2.0682
ours,0,3,27.762,1.8659
ours,0,4,35.255,1.7045
ours,0,5,40.890,1.5262
ours,0,6,46.174,1.3770
ours,0,7,51.040,1.2089
ours,0,8,54.663,1.1554
ours,0,9,58.250,1.0005
ours,0,10,61.852,0.9287
ours,0,11,64.227,0.8414
ours,0,12,66.106,0.8082
ours,0,13,68.694,0.7159
ours,0,14,70.351,0.6830
ours,0,15,71.604,0.6266
ours,0,16,73.661,0.5663
ours,0,17,74.420,0.5558
ours,0,18,76.069,0.4993
ours,0,19,76.679,0.4461
ours,0,20,77.692,0.4624
ours,0,21,78.317,0.4055
ours,0,22,79.003,0.4166
ours,0,23,79.688,0.3799
ours,0,24,79.416,0.3802
ours,0,25,80.516,0.3677
ours,0,26,80.510,0.3114
ours,0,27,80.600,0.2764
ours,0,28,81.607,0.2624
ours,0,29,81.605,0.2704
ours,0,30,81.266,0.3024
ours,1,1,9.434,2.2803
ours,1,2,18.679,2.0745
ours,1,3,26.270,1.8274
ours,1,4,33.527,1.6999
ours,1,5,39.453,1.4891
ours,1,6,44.965,1.3578
ours,1,7,49.829,1.2549
ours,1,8,53.054,1.1458
ours,1,9,57.280,0.9918
ours,1,10,60.171,0.9595
ours,1,11,62.964,0.8835
ours,1,12,64.795,0.8167
ours,1,13,67.471,0.6933
ours,1,14,69.389,0.6407
ours,1,15,70.775,0.6416
ours,1,16,72.070,0.5483
ours,1,17,72.782,0.5168
ours,1,18,73.762,0.5128
ours,1,19,75.472,0.4864
ours,1,20,76.577,0.4170
ours,1,21,77.316,0.3870
ours,1,22,77.666,0.4149
ours,1,23,77.577,0.3783
ours,1,24,78.486,0.3529
ours,1,25,78.866,0.3366
ours,1,26,79.758,0.3072
ours,1,27,79.817,0.3312
ours,1,28,79.859,0.2895
ours,1,29,80.148,0.2805
ours,1,30,79.961,0.3098
ours,2,1,10.620,2.2708
ours,2,2,19.663,2.1012
ours,2,3,27.497,1.8345
ours,2,4,35.017,1.6782
ours,2,5,41.189,1.5419
ours,2,6,46.704,1.3614
ours,2,7,51.377,1.2453
ours,2,8,55.152,1.1520
ours,2,9,58.437,1.0415
ours,2,10,61.967,0.9606
ours,2,11,64.278,0.8889
ours,2,12,67.210,0.7978
ours,2,13,69.115,0.7498
ours,2,14,70.501,0.6515
ours,2,15,71.777,0.6068
ours,2,16,73.404,0.5337
ours,2,17,74.325,0.5183
ours,2,18,75.882,0.5129
ours,2,19,76.859,0.4839
ours,2,20,78.126,0.4633
ours,2,21,78.394,0.4349
ours,2,22,78.894,0.3641
ours,2,23,79.176,0.3850
ours,2,24,79.706,0.3754
ours,2,25,80.944,0.3219
ours,2,26,81.091,0.3166
ours,2,27,80.639,0.2922
ours,2,28,81.807,0.3004
ours,2,29,81.318,0.2526
ours,2,30,82.006,0.2489
